title,artist,videoId,score,seed_key
Without Me,Halsey,Tk7WFyHUr1E,74.07407407407408,Without Me Dayseeker alt rock
Without Me,Halsey,VbvXsRaUTtg,74.07407407407408,Without Me Dayseeker alt rock
Who We Are,Imagine Dragons,LdMDjf9YDhU,73.6842105263158,Sirens Imagine Dragons alt rock
Granite,Sleep Token,ZbtSGk3F1GU,73.33333333333333,Rain Sleep Token alt rock
DYWTYLM,Sleep Token,tS1GMNMDCDM,73.33333333333333,Caramel Sleep Token alt rock
Suicide Season,Bring Me The Horizon,wclUxnVTHus,72.72727272727272,sTrAnGeRs Bring Me The Horizon alt rock
Caramel (Sleep Token Cover),A$trøbøt,PlH0fceU0bw,71.875,Caramel Sleep Token alt rock
Oh No (Radio Edit),Bring Me The Horizon,TdaKhqnXLQ0,71.7948717948718,Teardrops Bring Me The Horizon alt rock
Eyes Closed,Imagine Dragons,qSNX3DwwXJA,71.42857142857143,Sirens Imagine Dragons alt rock
Radioactive,Imagine Dragons,sudXI02WdPM,71.42857142857143,Sirens Imagine Dragons alt rock
Without Me,Robopup,GGOZDhcTbo0,71.42857142857143,Without Me Dayseeker alt rock
Dub,NXCRE,mEPBVb6588o,71.42857142857143,Usurper The Villians & NXCRE alt metal
Easy Come Easy Go,Imagine Dragons,1pl9Fcm6whs,71.1864406779661,Sirens Imagine Dragons alt rock
Atlantic,Sleep Token,dqLk4san-Bg,71.11111111111111,Rain Sleep Token alt rock
Alkaline,Sleep Token,Loa_OSFotDQ,70.96774193548387,Rain Sleep Token alt rock
Damocles,Sleep Token,ukG6zYjjGhw,70.96774193548387,Rain Sleep Token alt rock
Provider,Sleep Token,zzlljCJvwJ4,70.96774193548387,Caramel Sleep Token alt rock
Nazareth,Sleep Token,WtCovEC1x20,70.96774193548387,Dark Signs Sleep Token alt rock
Calcutta,Sleep Token,xsOmaDfdaXU,70.96774193548387,Dark Signs Sleep Token alt rock
Usurper,The Northern,savufnFVOkc,70.96774193548387,Usurper The Villians & NXCRE alt metal
1x1 (feat. Nova Twins),Bring Me The Horizon,3QjcAymJtMY,70.73170731707317,sTrAnGeRs Bring Me The Horizon alt rock
Bad Life,"Sigrid, Bring Me The Horizon",gE-seTy476w,70.17543859649123,sTrAnGeRs Bring Me The Horizon alt rock
Walking The Wire,Imagine Dragons,oB8nNlBkcEo,69.84126984126985,Sirens Imagine Dragons alt rock
Ferris Wheel,Imagine Dragons,1idxCGP-E-A,69.76744186046511,Sirens Imagine Dragons alt rock
I’m So Sorry,Imagine Dragons,0HgJwrwEEKQ,69.76744186046511,Sirens Imagine Dragons alt rock
Dangerous,Sleep Token,2_LlMpedbrY,69.56521739130434,Rain Sleep Token alt rock
Loveless,Kittie,rf2uH2PqfFw,69.56521739130434,Middle of the Night Loveless alt rock
Teardrops,Ai Mori,KX5_aGBFDGA,69.23076923076923,Teardrops Bring Me The Horizon alt rock
Hospital for Souls,Bring Me The Horizon,-_pj39Xeabo,69.23076923076923,sTrAnGeRs Bring Me The Horizon alt rock
Without Me,One Last Day,JTibSEhEsvk,69.23076923076923,Without Me Dayseeker alt rock
In the Middle of the Night,Still Corners,4gZzvKwb1rU,69.0909090909091,Middle of the Night Loveless alt rock
In Your Corner,Imagine Dragons,amHTPCcSbJ4,68.85245901639344,Sirens Imagine Dragons alt rock
Emergence,Sleep Token,Y9CSY2Yu94Q,68.75,Rain Sleep Token alt rock
Chokehold,Sleep Token,8kf0DpAwK1A,68.75,Rain Sleep Token alt rock
Telomeres,Sleep Token,NiFNuNL9Ess,68.75,Caramel Sleep Token alt rock
Past Self,Sleep Token,LIJvg703FwQ,68.75,Caramel Sleep Token alt rock
Smoke And Mirrors,Imagine Dragons,iPaxPKqvoXg,68.75,Sirens Imagine Dragons alt rock
Like That,Sleep Token,3Iz46MdOaO8,68.75,Dark Signs Sleep Token alt rock
Crucify Me (feat. Lights),Bring Me The Horizon,9omUTAO6b9g,68.29268292682927,sTrAnGeRs Bring Me The Horizon alt rock
Higher Ground,Imagine Dragons,5JCy0iwzkLk,68.18181818181819,Sirens Imagine Dragons alt rock
Dark Signs (feat. Sleep Token),ArtTick252,F8n4fFqgbHo,68.08510638297872,Dark Signs Sleep Token alt rock
Middle of the Night (Rock Version),"Shayne Orok, Curserino",jC_99ml8zIg,67.85714285714286,Middle of the Night Loveless alt rock
Middle of the Night,"Shayne Orok, Curserino",KJqniz-MzXg,67.85714285714286,Middle of the Night Loveless alt rock
Middle of the Night (feat. Brianna Harness),Upchurch,L9TFuQDuEGw,67.85714285714286,Middle of the Night Loveless alt rock
In the Middle of the Night,Within Temptation,ZqG5fL5PVR8,67.85714285714286,Middle of the Night Loveless alt rock
Middle of the Night (Acoustic Guitar Version),Mount Hayes,FHuVLCylfbQ,67.85714285714286,Middle of the Night Loveless alt rock
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,INnieyJ_QPE,67.79661016949152,Teardrops Bring Me The Horizon alt rock
Can You Feel My Heart,Bring Me The Horizon,UonVoc65dx8,67.79661016949152,Teardrops Bring Me The Horizon alt rock
Top 10 staTues tHat CriEd bloOd,Bring Me The Horizon,7GjJNskj9mc,67.79661016949152,Teardrops Bring Me The Horizon alt rock
Diamonds Aren't Forever,Bring Me The Horizon,ND15MCOefvo,67.79661016949152,Teardrops Bring Me The Horizon alt rock
